NodesNumber, EdgesNumber, EdgesP, PrefP, ReductionPref3, PrefExtensionsGas
5, 7, 0.33, 0.25, 1522084, 6014079
10, 53, 0.5, 0.25, 10523854, 25136858
15, 146, 0.66, 0.25, 29087773, 60605386
20, 130, 0.33, 0.25, 22840440, 170411862
5, 10, 0.5, 0.25, 2316690, 3540544
10, 60, 0.66, 0.25, 11197993, 18048310
15, 59, 0.33, 0.25, 10831363, 77269379
20, 169, 0.5, 0.25, 28521085, 353287922
5, 15, 0.66, 0.25, 3145193, 2948559
10, 28, 0.33, 0.25, 5255767, 26108128
15, 103, 0.5, 0.25, 19212746, 62976720
20, 269, 0.66, 0.25, 52246557, 135856252
